---sec : 16  us : 182883--- ---./case0_1--- 
---sec : 10  us : 639692--- ---./case1_1--- 
---sec : 10  us : 357972--- ---./case2_1--- 
---sec : 10  us : 249380--- ---./case3_1--- 
---sec : 10  us : 212835--- ---./case4_1--- 
---sec : 10  us : 49394--- ---./case5_1--- 
---sec : 10  us : 505497--- ---./case7_1--- 
---sec : 9  us : 943092--- ---./case8_1--- 
---sec : 10  us : 391777--- ---./case9_1--- 
---sec : 4  us : 38584--- ---./case11_2--- 
---sec : 3  us : 986274--- ---./case12_2--- 
---sec : 4  us : 92059--- ---./case13_2--- 
---sec : 3  us : 862255--- ---./case14_2--- 
---sec : 4  us : 108512--- ---./case16_2--- 
---sec : 4  us : 160449--- ---./case18_2--- 
---sec : 4  us : 37197--- ---./case19_2--- 
---sec : 1  us : 997646--- ---./case20_3--- 
---sec : 1  us : 915645--- ---./case21_3--- 
---sec : 2  us : 139173--- ---./case22_3--- 
---sec : 2  us : 49592--- ---./case24_3--- 
---sec : 2  us : 70468--- ---./case25_3--- 
---sec : 1  us : 869367--- ---./case26_3--- 
---sec : 2  us : 107532--- ---./case27_3--- 
---sec : 2  us : 174309--- ---./case28_3--- 
---sec : 1  us : 825523--- ---./case29_3--- 
---sec : 1  us : 245796--- ---./case30_4--- 
---sec : 1  us : 45127--- ---./case31_4--- 
---sec : 0  us : 959908--- ---./case32_4--- 
---sec : 1  us : 82454--- ---./case33_4--- 
---sec : 0  us : 974538--- ---./case34_4--- 
---sec : 1  us : 13781--- ---./case35_4--- 
---sec : 1  us : 2584--- ---./case36_4--- 
---sec : 0  us : 954337--- ---./case37_4--- 
---sec : 1  us : 51989--- ---./case38_4--- 
---sec : 0  us : 955942--- ---./case39_4--- 
---sec : 0  us : 186314--- ---./case40_5--- 
---sec : 0  us : 353284--- ---./case41_5--- 
---sec : 0  us : 205671--- ---./case42_5--- 
---sec : 0  us : 203615--- ---./case43_5--- 
---sec : 0  us : 220600--- ---./case44_5--- 
---sec : 0  us : 220815--- ---./case45_5--- 
---sec : 0  us : 205635--- ---./case46_5--- 
---sec : 0  us : 203479--- ---./case47_5--- 
---sec : 0  us : 213112--- ---./case48_5--- 
---sec : 0  us : 118473--- ---./case50_6--- 
---sec : 0  us : 122297--- ---./case51_6--- 
---sec : 0  us : 88571--- ---./case52_6--- 
---sec : 0  us : 89016--- ---./case54_6--- 
---sec : 0  us : 101805--- ---./case56_6--- 
---sec : 0  us : 105793--- ---./case57_6--- 
---sec : 0  us : 102386--- ---./case58_6--- 
---sec : 0  us : 118182--- ---./case59_6--- 
---sec : 0  us : 12513--- ---./case60_7--- 
---sec : 0  us : 10475--- ---./case61_7--- 
---sec : 0  us : 11543--- ---./case63_7--- 
---sec : 0  us : 18789--- ---./case64_7--- 
---sec : 0  us : 12074--- ---./case66_7--- 
---sec : 0  us : 17382--- ---./case67_7--- 
---sec : 0  us : 13353--- ---./case68_7--- 
---sec : 0  us : 12162--- ---./case69_7--- 
